*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2020 249    95    1000    8776   38861       0   38861   38798    62.7    8.00   874.8  3877.5    0.00  3877.5  3874.7    2.80
 2020 250    96    1000    8776   38859       0   38858   38796    62.0    8.00   874.7  3877.3    0.00  3877.3  3874.5    2.77
 2020 251    97    1000    8775   38857       1   38856   38795    61.3    8.00   874.7  3877.1    0.05  3877.1  3874.3    2.74
 2020 252    98    1000    8775   38854       1   38853   38793    60.6    8.00   874.7  3876.9    0.05  3876.8  3874.1    2.71
 2020 253    99    1000    8775   38852       1   38851   38791    60.0    8.00   874.6  3876.7    0.05  3876.6  3874.0    2.68
 2020 254   100    1000    8774   38850       1   38849   38790    59.6    8.00   874.6  3876.5    0.05  3876.5  3873.8    2.66
 2020 255   101    1000    8774   38848       1   38848   38788    59.3    8.00   874.6  3876.4    0.05  3876.3  3873.7    2.65
 2020 256   102    1000    8774   38847       1   38846   38787    59.0    8.00   874.6  3876.3    0.05  3876.2  3873.6    2.64
 2020 257   103    1000    8774   38846       1   38845   38787    58.8    8.00   874.5  3876.2    0.05  3876.1  3873.5    2.63
 2020 258   104    1000    8774   38845       1   38844   38786    58.5    8.00   874.5  3876.1    0.05  3876.0  3873.4    2.61
 2020 259   105    1000    8774   38843       1   38842   38784    58.0    8.00   874.5  3875.9    0.06  3875.9  3873.3    2.59
 2020 260   106    1000    8773   38841       1   38840   38783    57.6    8.00   874.5  3875.7    0.06  3875.7  3873.1    2.57
 2020 261   107    1000    8773   38839       1   38838   38781    57.1    8.00   874.4  3875.5    0.06  3875.5  3872.9    2.55
 2020 262   108    1000    8773   38837       1   38836   38780    56.6    8.00   874.4  3875.4    0.06  3875.3  3872.8    2.53
 2020 263   109    1000    8772   38835       1   38834   38778    56.2    8.00   874.4  3875.2    0.06  3875.1  3872.6    2.51
 2020 264   110    1000    8772   38833       1   38832   38776    55.7    8.00   874.3  3875.0    0.06  3874.9  3872.4    2.49
 2020 265   111    1000    8772   38831       1   38830   38775    55.3    8.00   874.3  3874.8    0.06  3874.7  3872.3    2.47
 2020 266   112    1000    8772   38829       1   38828   38773    54.8    8.00   874.3  3874.6    0.06  3874.6  3872.1    2.45
 2020 267   113    1000    8771   38827       1   38826   38771    54.4    8.00   874.2  3874.4    0.06  3874.4  3871.9    2.43
 2020 268   114    1000    8771   38825       1   38824   38770    53.9    8.00   874.2  3874.2    0.06  3874.2  3871.8    2.40
 2020 269   115    1000    8771   38823       1   38821   38768    53.4    8.00   874.2  3874.0    0.07  3874.0  3871.6    2.38
 2020 270   116    1000    8770   38820       1   38819   38766    53.1    8.00   874.1  3873.8    0.07  3873.8  3871.4    2.36
